fecha	hora	demanda
2022-11-30	1	9225,293488905501
2022-11-30	2	8872,8704979351
2022-11-30	3	8697,6998912688
2022-11-30	4	8549,838489435402
2022-11-30	5	8587,767949876708
2022-11-30	6	8675,791672620608
2022-11-30	7	8950,242243930912
2022-11-30	8	9215,217693593602
2022-11-30	9	9603,298481249603
2022-11-30	10	10054,38507362919
2022-11-30	11	10308,19612306979
2022-11-30	12	10404,625594370797
2022-11-30	13	10505,692764411708
2022-11-30	14	10545,046665700593
2022-11-30	15	10625,878348594411
2022-11-30	16	10630,634513524004
2022-11-30	17	10586,523227617998
2022-11-30	18	10400,022007092184
2022-11-30	19	10133,410093931892
2022-11-30	20	9898,15450770822
2022-11-30	21	10132,0803719139
2022-11-30	22	10448,2975555031
2022-11-30	23	10181,8116245522
2022-11-30	24	9669,983273312797
2022-11-29	1	9416,588000088397
2022-11-29	2	9013,5584236774
2022-11-29	3	8785,959995499601
2022-11-29	4	8719,733200733104
2022-11-29	5	8638,3224286365
2022-11-29	6	8756,967058348495
2022-11-29	7	9033,71390975161
2022-11-29	8	9346,8015184786
2022-11-29	9	9803,883846087703
2022-11-29	10	10299,797226582203
2022-11-29	11	10162,619223409709
2022-11-29	12	10320,292951491198
2022-11-29	13	10531,015259093718
2022-11-29	14	10530,087854897296
2022-11-29	15	10594,15190777161
2022-11-29	16	10589,092851885518
2022-11-29	17	10561,462977310994
2022-11-29	18	10424,112241307592
2022-11-29	19	10279,676061839715
2022-11-29	20	9985,094202537002
2022-11-29	21	10207,482284293306
2022-11-29	22	10459,173595536608
2022-11-29	23	10237,435457750007
2022-11-29	24	9696,1099033296
2022-11-28	1	8943,014027577605
2022-11-28	2	8589,2013284646
2022-11-28	3	8366,589528649503
2022-11-28	4	8225,382905795996
2022-11-28	5	8246,607116489198
2022-11-28	6	8307,668071679691
2022-11-28	7	8629,72171644881
2022-11-28	8	9045,725650484
2022-11-28	9	9572,907104708001
2022-11-28	10	10043,365062780707
2022-11-28	11	10334,652326154315
2022-11-28	12	10593,861657607198
2022-11-28	13	10757,8409444937
2022-11-28	14	10775,700875943312
2022-11-28	15	10879,501485456287
2022-11-28	16	10896,303942997305
2022-11-28	17	10858,438172427104
2022-11-28	18	10564,44718844461
2022-11-28	19	10308,55680136581
2022-11-28	20	10228,096688207703
2022-11-28	21	10309,411209406695
2022-11-28	22	10571,4674216176
2022-11-28	23	10249,205176172107
2022-11-28	24	9844,022132938304
2022-11-27	18	9117,206635999497
2022-11-27	19	9116,444364673504
2022-11-27	20	9253,79755549521
2022-11-27	21	9467,929092796003
2022-11-27	22	9921,406674108108
2022-11-27	23	9823,0230384379
2022-11-27	24	9350,247126271908
2022-11-27	5	8154,551549510305
2022-11-27	6	8135,979375810601
2022-11-27	7	8035,161122337099
2022-11-27	8	7867,7452758353975
2022-11-27	9	7885,708200936605
2022-11-27	10	8329,414351386702
2022-11-27	11	8651,788978026603
2022-11-27	12	8930,9646221249
2022-11-27	13	9163,04632574811
2022-11-27	14	9392,378649529004
2022-11-27	15	9399,9358364736
2022-11-27	16	9232,607558794609
2022-11-27	17	9167,829986973298
2022-11-27	1	9041,968599875401
2022-11-27	2	8561,730607821304
2022-11-27	3	8427,193008890901
2022-11-27	4	8218,224582264002
2022-11-26	1	9457,135519047502
2022-11-26	2	9098,530147364403
2022-11-26	3	8821,095657312202
2022-11-26	5	8540,157062093302
2022-11-26	6	8530,073493279604
2022-11-26	7	8487,204074223006
2022-11-26	8	8456,040632933495
2022-11-26	9	8716,483426992
2022-11-26	10	9254,333173051591
2022-11-26	11	9595,498044926806
2022-11-26	12	9829,230945804304
2022-11-26	13	10008,497737152904
2022-11-26	14	10202,122528734204
2022-11-26	15	10252,111908059003
2022-11-26	16	10132,898060571912
2022-11-26	18	9831,622293789198
2022-11-26	4	8617,086195838701
2022-11-26	17	9973,401375718497
2022-11-26	19	9717,128568992997
2022-11-26	20	9744,962058439702
2022-11-26	21	9890,733608580009
2022-11-26	22	10074,5278493085
2022-11-26	23	9848,159310882693
2022-11-26	24	9447,94052501931
2022-11-25	1	9328,029465401098
2022-11-25	3	8721,809264965701
2022-11-25	4	8586,340397664904
2022-11-25	5	8460,924103379497
2022-11-25	6	8554,230803835097
2022-11-25	7	8795,2728572111
2022-11-25	8	9188,509796271603
2022-11-25	9	9586,027794032703
2022-11-25	10	10021,173631834701
2022-11-25	11	10260,812725464204
2022-11-25	12	10516,093387733998
2022-11-25	13	10630,359786109197
2022-11-25	14	10820,029317104394
2022-11-25	16	11012,180792288198
2022-11-25	17	10845,068821122686
2022-11-25	18	10540,20714406789
2022-11-25	19	10261,2635896292
2022-11-25	20	10189,136001137393
2022-11-25	21	10307,785298445691
2022-11-25	22	10516,366538396094
2022-11-25	23	10357,860461824604
2022-11-25	24	9973,253674844598
2022-11-25	2	8980,3208061768
2022-11-25	15	10977,938946853701
2022-11-24	1	9063,651178085505
2022-11-24	2	8709,426638020002
2022-11-24	3	8428,874894388999
2022-11-24	4	8244,001931357501
2022-11-24	5	8230,846268563499
2022-11-24	6	8353,7614176613
2022-11-24	7	8589,050113729298
2022-11-24	8	8946,082794199086
2022-11-24	9	9423,411384746494
2022-11-24	10	9968,653426240502
2022-11-24	11	10187,001473200515
2022-11-24	12	10322,299949136614
2022-11-24	14	10561,326497194092
2022-11-24	15	10559,984411059499
2022-11-24	16	10506,720541390996
2022-11-24	17	10454,527416909914
2022-11-24	18	10405,780042396596
2022-11-24	19	10129,987848998708
2022-11-24	20	10296,979457294206
2022-11-24	21	10543,484491912308
2022-11-24	22	10570,741576533293
2022-11-24	23	10201,220452612695
2022-11-24	24	9734,413059821503
2022-11-24	13	10379,646303932193
2022-11-23	1	9109,338236035901
2022-11-23	2	8760,062772740106
2022-11-23	3	8470,461258338599
2022-11-23	4	8318,627756487302
2022-11-23	5	8330,656404693402
2022-11-23	6	8349,565161895898
2022-11-23	7	8631,477902243896
2022-11-23	8	8863,216735199396
2022-11-23	9	9319,655227773692
2022-11-23	10	9847,46145478039
2022-11-23	12	10352,787548481992
2022-11-23	13	10475,37566212279
2022-11-23	14	10564,22399484329
2022-11-23	15	10608,363011928996
2022-11-23	16	10667,786370190708
2022-11-23	17	10571,783780535805
2022-11-23	18	10382,096349422896
2022-11-23	19	10126,7928626343
2022-11-23	20	10043,324257446597
2022-11-23	21	10188,3559024428
2022-11-23	22	10490,629726496496
2022-11-23	23	10282,747953085305
2022-11-23	11	10160,8474903613
2022-11-23	24	9811,571468473598
2022-11-22	1	9269,185871471993
2022-11-22	2	8758,0806817658
2022-11-22	3	8501,269613768607
2022-11-22	4	8378,4550932816
2022-11-22	5	8332,584477350298
2022-11-22	6	8409,491842346708
2022-11-22	7	8704,974210120103
2022-11-22	8	9109,768640186712
2022-11-22	10	10098,881156205405
2022-11-22	11	10291,652575777909
2022-11-22	12	10449,720040463102
2022-11-22	13	10584,087184229898
2022-11-22	14	10728,512901481095
2022-11-22	15	10793,857522161286
2022-11-22	16	10834,950563216213
2022-11-22	17	10856,634605953404
2022-11-22	18	10659,650835804294
2022-11-22	19	10314,218344970306
2022-11-22	20	10206,581116626601
2022-11-22	21	10247,021544005298
2022-11-22	23	10092,577048126597
2022-11-22	24	9600,158961627203
2022-11-22	9	9680,148345002111
2022-11-22	22	10428,641370791593
2022-11-21	1	8632,693835600798
2022-11-21	2	8224,008217481001
2022-11-21	3	8027,790624465104
2022-11-21	4	8025,453108756203
2022-11-21	5	8156,739809795101
2022-11-21	6	8212,989475001794
2022-11-21	8	8704,351353885402
2022-11-21	9	9388,651319481012
2022-11-21	10	9918,626140632396
2022-11-21	11	10207,163439134296
2022-11-21	12	10370,517974580287
2022-11-21	13	10481,55297410661
2022-11-21	14	10579,590634183702
2022-11-21	15	10721,028470089692
2022-11-21	16	10781,609227724088
2022-11-21	17	10794,116426274508
2022-11-21	18	10590,466978038903
2022-11-21	19	10374,295202427498
2022-11-21	21	10487,600646573297
2022-11-21	22	10584,420945734802
2022-11-21	23	10302,445749318009
2022-11-21	24	9821,926011420797
2022-11-21	7	8456,426228724606
2022-11-21	20	10386,477676942412
2022-11-20	1	8863,836403410098
2022-11-20	2	8519,514464792002
2022-11-20	3	8188,138400581003
2022-11-20	5	8005,572124330601
2022-11-20	19	8818,920084521105
2022-11-20	20	8953,931835248697
2022-11-20	21	9293,236482057195
2022-11-20	22	9728,819165192508
2022-11-20	23	9559,9594503632
2022-11-20	24	9113,9994072275
2022-11-20	4	8075,941621342402
2022-11-20	7	7769,664514102904
2022-11-20	8	7564,365821680705
2022-11-20	9	7788,342578489904
2022-11-20	11	8372,056542141801
2022-11-20	13	8832,658725146299
2022-11-20	14	9060,038162982699
2022-11-20	15	9011,561939365209
2022-11-20	16	8882,054402945814
2022-11-20	18	8757,098343030704
2022-11-20	6	7922,633223205198
2022-11-20	10	8141,409790588202
2022-11-20	12	8626,9461411745
2022-11-20	17	8795,794200139599
2022-11-19	1	9548,0544932273
2022-11-19	3	8963,320965885297
2022-11-19	4	8849,588619188005
2022-11-19	5	8714,582766216303
2022-11-19	6	8669,127101930902
2022-11-19	7	8644,2036124424
2022-11-19	8	8572,714186987703
2022-11-19	9	8847,963977789803
2022-11-19	10	9292,8596989536
2022-11-19	11	9634,858492495305
2022-11-19	12	9746,538145008195
2022-11-19	13	9873,507674983888
2022-11-19	14	9925,074505952696
2022-11-19	16	9754,1386770152
2022-11-19	17	9676,095749294798
2022-11-19	18	9479,394085829701
2022-11-19	19	9402,897529095402
2022-11-19	20	9276,272176796994
2022-11-19	21	9534,255992679506
2022-11-19	22	9783,431239783304
2022-11-19	23	9528,763528772
2022-11-19	24	9192,628921950405
2022-11-19	2	9281,712564865004
2022-11-19	15	9858,672207495907
2022-11-18	1	9343,247898071808
2022-11-18	2	9018,8205826164
2022-11-18	3	8814,290409114003
2022-11-18	4	8681,873435876805
2022-11-18	5	8668,075454329497
2022-11-18	6	8764,2406920366
2022-11-18	7	9060,549099805308
2022-11-18	8	9392,71023708251
2022-11-18	9	9848,455109758605
2022-11-18	10	10265,899752050205
2022-11-18	11	10487,9042216826
2022-11-18	12	10691,560310339895
2022-11-18	14	10823,004755269401
2022-11-18	15	10882,558128783796
2022-11-18	16	10904,02816269689
2022-11-18	17	10723,413460433396
2022-11-18	18	10452,218177001803
2022-11-18	19	10224,444594871497
2022-11-18	20	10119,310332421006
2022-11-18	21	10322,017862990504
2022-11-18	22	10568,767244906698
2022-11-18	23	10282,114467527106
2022-11-18	24	9935,841413527301
2022-11-18	13	10791,091254986211
2022-11-17	1	9372,329828622398
2022-11-17	2	8994,370347622396
2022-11-17	3	8738,505136681904
2022-11-17	4	8585,055555040397
2022-11-17	5	8514,5564356123
2022-11-17	6	8605,677906947705
2022-11-17	7	8878,086011865504
2022-11-17	8	9180,838462758884
2022-11-17	9	9642,363190344591
2022-11-17	10	10055,838261849998
2022-11-17	12	10406,788332263297
2022-11-17	13	10552,4501953326
2022-11-17	14	10658,567689895788
2022-11-17	15	10767,023536177907
2022-11-17	16	10809,576884683298
2022-11-17	17	10772,556037824294
2022-11-17	18	10603,589151098784
2022-11-17	19	10260,044726711401
2022-11-17	20	10094,821464445109
2022-11-17	21	10299,701847473507
2022-11-17	22	10563,639132463797
2022-11-17	23	10295,736427279599
2022-11-17	11	10235,464134172305
2022-11-17	24	9843,283814573202
2022-11-16	1	9239,290656504898
2022-11-16	2	8860,333676332602
2022-11-16	3	8622,8218217251
2022-11-16	4	8522,488155502306
2022-11-16	5	8531,767481030196
2022-11-16	6	8616,8068855744
2022-11-16	7	8915,785547388205
2022-11-16	8	9124,249758134605
2022-11-16	10	10006,4253109029
2022-11-16	11	10186,601269693998
2022-11-16	12	10387,9934254455
2022-11-16	13	10533,009832214802
2022-11-16	14	10616,998664193896
2022-11-16	15	10723,865742002501
2022-11-16	16	10765,774810587607
2022-11-16	17	10764,039851045896
2022-11-16	18	10589,387455083508
2022-11-16	19	10313,857247761085
2022-11-16	20	10260,0879068252
2022-11-16	21	10437,058129470392
2022-11-16	23	10311,560960696097
2022-11-16	24	9822,215716557397
2022-11-16	9	9490,773518151498
2022-11-16	22	10614,023022374198
2022-11-15	1	9128,768149831505
2022-11-15	2	8735,872543551903
2022-11-15	3	8545,857850189399
2022-11-15	4	8421,714211244402
2022-11-15	5	8443,784388217106
2022-11-15	6	8555,040504823804
2022-11-15	8	9191,739252205703
2022-11-15	9	9542,044561725594
2022-11-15	10	9952,210968555419
2022-11-15	11	10235,41454661021
2022-11-15	12	10400,397146740608
2022-11-15	13	10498,178449615894
2022-11-15	14	10581,143834928891
2022-11-15	15	10696,833999137203
2022-11-15	16	10707,392144501715
2022-11-15	17	10679,722354340407
2022-11-15	18	10553,45486603522
2022-11-15	19	10290,045972618498
2022-11-15	21	10337,529911758296
2022-11-15	22	10504,9263569003
2022-11-15	23	10144,527444469308
2022-11-15	24	9671,3799506124
2022-11-15	7	8812,373037505196
2022-11-15	20	10161,824624746305
2022-11-14	6	8156,8255781932
